Symbol,Company,Sector,Industry,Market_Cap,Net_Profit_Cr,ROCE_Pct,ROE_Pct,Debt_to_Equity,Latest_Q_Profit_Cr,Public_Holding_Pct,Is_Bank_Finance,Is_PSU,Is_Highest_Quarter,Passes_Criteria
ANTELOPUS,ANTELOPUS,Energy,Oil & Gas E&P,13259725824,73.98,0.0,0.0,0.0,11.81,0.0,False,False,False,False
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging & Containers,158109792,0.43,1.76,7.56,0.6528,0.0,85.13,False,False,False,False
ANTHEM,ANTHEM,Healthcare,Biotechnology,362238476288,451.26,13.8,20.83,0.04,173.43,11.02,False,False,False,False
ANUHPHR,Anuh Pharma Limited,Healthcare,Drug Manufacturers - Specialty & Generic,7805968384,47.35,6.38,12.29,0.0007,7.61,27.84,False,False,False,False
ANUP,The Anup Engineering Limited,Industrials,Specialty Industrial Machinery,44058226688,118.3,10.41,20.27,0.2478,32.05,51.82,False,False,False,False
ANURAS,Anupam Rasayan India Ltd,Basic Materials,Specialty Chemicals,150388015104,93.35,4.86,6.94,0.3751,34.04,19.62,False,False,False,False
APARINDS,APAR Industries Limited,Industrials,Electrical Equipment & Parts,329919332352,821.3,9.4,20.97,0.145,262.91,41.94,False,False,False,False
APCL,Anjani Portland Cement Limited,Basic Materials,Building Materials,3897212160,80.82,-1.67,-18.4,2.2315,4.92,16.78,False,False,False,False
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Specialty Chemicals,18657110016,54.06,6.55,12.95,0.2328,25.3,51.97,False,False,False,False
APEX,Apex Frozen Foods Limited,Consumer Defensive,Farm Products,8666448896,3.88,2.21,4.53,0.0797,11.87,27.37,False,False,False,False
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Steel,531556663296,757.06,11.0,24.81,0.1553,237.17,63.98,False,False,False,False
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Drug Manufacturers - Specialty & Generic,160149798912,583.42,6.72,12.38,0.28,154.38,29.42,False,False,False,False
APOLLO,Apollo Micro Systems Limited,Industrials,Aerospace & Defense,90430595072,56.4,6.94,9.66,0.3348,18.51,40.12,False,False,False,False
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Medical Care Facilities,1058902114304,1445.9,7.55,19.79,0.8361,432.8,70.02,False,False,False,False
APOLLOPIPE,Apollo Pipes Limited,Industrials,Building Products & Equipment,12815004672,32.65,1.75,3.26,0.0786,8.14,49.05,False,False,False,False
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Auto Parts,329537781760,1121.32,4.78,5.31,0.2909,258.05,47.79,False,False,False,False
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Specialty Business Services,3283004928,7.72,2.28,7.57,0.5384,3.09,28.5,False,False,False,False
APTECHT,Aptech Limited,Consumer Defensive,Education & Training Services,5237024768,19.08,3.25,9.03,0.0575,6.46,38.36,False,False,False,False
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Mortgage Finance,140102336512,751.25,7.57,19.45,1.5702,219.25,70.08,True,False,False,False
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Lumber & Wood Production,1762820096,7.36,3.27,1.28,1.7816,2.65,30.2,False,False,False,False
ARCHIES,Archies Limited,Consumer Cyclical,Specialty Retail,619525184,1.46,-1.92,-0.79,0.3345,0.25,36.19,False,False,False,False
